team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SJS,2022,SJS,SJS,Team Level,4on5,68,0.07,0.09,0.1,21065.0,36.64,2.65,1.61,5.07,1.08,11.46,27.12,2.64,2.65,2.64,44.0,5.0,11.0,60.0,3.0,0.0,0.0,10.0,1.0,4.0,31.0,41.0,46.0,6.0,12.0,152.0,45.0,61.0,21.0,39.0,8.0,2.0,0.95,1.02,0.68,2.0,0.0,1.0,60.0,49.0,49.0,18.0,0.38,0.0,0.0,3.03,3.03,3.02,310.73,37.23,28.97,66.47,10.46,191.99,97.87,34.59,37.23,34.59,286.0,147.0,171.0,604.0,34.0,36.0,8.0,72.0,8.0,147.0,136.0,252.0,399.0,9.0,18.0,208.0,26.0,24.0,65.0,292.0,101.0,40.0,8.38,12.05,16.8,8.0,9.0,17.0,604.0,433.0,433.0,5.0,7.4,9.7,9.7,34.93,34.93,33.06
SJS,2022,SJS,SJS,Team Level,5on4,68,0.87,0.85,0.84,17672.0,260.39,33.75,24.94,53.63,8.46,154.79,79.44,31.47,33.75,31.47,266.0,89.0,116.0,471.0,30.0,38.0,9.0,45.0,7.0,118.0,117.0,236.0,325.0,13.0,26.0,181.0,16.0,19.0,43.0,231.0,83.0,41.0,6.56,10.48,16.7,4.0,7.0,19.0,471.0,355.0,355.0,5.0,6.41,10.24,10.24,29.92,29.92,28.75,48.61,4.99,2.6,7.26,1.58,16.17,34.41,4.95,4.99,4.95,53.0,14.0,13.0,80.0,7.0,2.0,1.0,11.0,3.0,6.0,38.0,46.0,60.0,3.0,6.0,133.0,55.0,48.0,23.0,48.0,13.0,6.0,1.55,1.57,1.86,1.0,4.0,2.0,80.0,67.0,67.0,19.0,0.59,0.34,0.34,5.24,5.24,5.22
WPG,2022,WPG,WPG,Team Level,other,68,0.52,0.55,0.55,9271.0,145.56,32.24,11.01,25.18,4.9,82.6,45.07,28.73,32.24,28.73,136.0,65.0,61.0,262.0,38.0,9.0,4.0,16.0,2.0,82.0,54.0,98.0,163.0,5.0,10.0,99.0,34.0,16.0,17.0,102.0,60.0,39.0,3.96,7.42,20.86,6.0,12.0,20.0,262.0,201.0,201.0,7.0,3.26,3.59,3.59,31.91,31.91,29.56,121.48,29.79,8.44,21.65,4.03,62.37,40.71,28.4,29.79,28.4,117.0,50.0,49.0,216.0,29.0,10.0,3.0,21.0,2.0,58.0,47.0,88.0,138.0,7.0,16.0,111.0,39.0,13.0,17.0,76.0,51.0,40.0,3.06,6.48,20.26,6.0,6.0,17.0,216.0,167.0,167.0,11.0,2.44,2.83,2.83,29.39,29.39,28.23
WPG,2022,WPG,WPG,Team Level,all,68,0.51,0.51,0.5,246642.0,2139.81,222.69,151.02,486.54,71.31,1199.38,849.05,210.99,222.5,210.85,2055.0,925.0,987.0,3967.0,211.0,187.0,32.0,407.0,57.0,1068.0,1050.0,1844.0,2769.0,243.0,550.0,1786.0,1507.0,503.0,594.0,2127.0,619.0,234.0,63.97,75.66,83.06,80.0,70.0,61.0,3968.79,2980.0,2984.81,413.0,33.74,39.85,39.92,216.51,216.75,209.49,2109.12,216.15,147.11,486.07,69.26,1160.84,842.56,205.7,216.41,206.04,2117.0,805.0,933.0,3855.0,193.0,178.0,28.0,405.0,49.0,981.0,1116.0,1924.0,2729.0,259.0,572.0,1909.0,1472.0,471.0,645.0,2068.0,635.0,219.0,60.48,79.53,76.15,59.0,68.0,66.0,3852.75,2922.0,2920.99,463.0,32.57,38.77,38.77,209.94,210.16,203.77
WPG,2022,WPG,WPG,Team Level,5on5,68,0.51,0.51,0.5,198585.0,1643.28,147.5,110.71,391.71,54.87,918.99,673.22,141.98,147.31,141.84,1591.0,706.0,782.0,3079.0,133.0,147.0,23.0,328.0,47.0,799.0,843.0,1458.0,2164.0,221.0,505.0,1391.0,1391.0,429.0,497.0,1687.0,463.0,147.0,50.78,57.14,39.58,66.0,48.0,19.0,3080.79,2297.0,2301.81,366.0,22.93,29.47,29.54,140.89,141.12,138.58,1643.38,143.6,109.26,398.74,53.9,902.04,667.47,137.6,143.86,137.93,1658.0,617.0,730.0,3005.0,128.0,144.0,19.0,333.0,40.0,745.0,885.0,1530.0,2147.0,225.0,499.0,1413.0,1347.0,400.0,533.0,1675.0,477.0,123.0,49.24,60.18,34.19,48.0,53.0,27.0,3002.75,2275.0,2273.99,395.0,22.62,30.9,30.9,135.33,135.54,132.95
WPG,2022,WPG,WPG,Team Level,4on5,68,0.1,0.11,0.13,19059.0,46.12,3.92,2.09,6.05,1.28,13.79,32.89,3.87,3.92,3.87,48.0,12.0,8.0,68.0,4.0,0.0,0.0,2.0,2.0,11.0,41.0,44.0,56.0,7.0,14.0,132.0,59.0,44.0,35.0,44.0,12.0,4.0,1.39,1.53,1.0,1.0,2.0,1.0,68.0,60.0,60.0,35.0,0.48,0.0,0.0,4.4,4.4,4.34,282.37,36.38,26.1,57.35,9.56,177.44,92.18,33.42,36.38,33.42,272.0,127.0,143.0,542.0,31.0,23.0,6.0,48.0,7.0,167.0,123.0,241.0,368.0,16.0,32.0,192.0,21.0,13.0,41.0,262.0,92.0,45.0,6.83,10.78,18.76,4.0,7.0,20.0,542.0,399.0,399.0,5.0,6.74,4.76,4.76,38.35,38.35,35.72
WPG,2022,WPG,WPG,Team Level,5on4,68,0.86,0.86,0.84,19727.0,304.86,39.02,27.22,63.6,10.27,184.01,97.88,36.41,39.02,36.41,280.0,142.0,136.0,558.0,36.0,31.0,5.0,61.0,6.0,176.0,112.0,244.0,386.0,10.0,21.0,164.0,23.0,14.0,45.0,294.0,84.0,44.0,7.84,9.57,21.62,7.0,8.0,21.0,558.0,422.0,422.0,5.0,7.07,6.79,6.79,39.31,39.31,37.0,61.89,6.38,3.31,8.34,1.78,18.99,42.2,6.28,6.38,6.28,70.0,11.0,11.0,92.0,5.0,1.0,0.0,3.0,0.0,11.0,61.0,65.0,76.0,11.0,25.0,193.0,65.0,45.0,54.0,55.0,15.0,11.0,1.35,2.09,2.94,1.0,2.0,2.0,92.0,81.0,81.0,52.0,0.76,0.27,0.27,6.87,6.87,6.86
ARI,2022,ARI,ARI,Team Level,other,68,0.38,0.41,0.37,7882.0,96.54,22.8,6.36,16.63,3.23,49.85,33.12,21.6,22.8,21.6,92.0,40.0,52.0,184.0,23.0,11.0,2.0,14.0,3.0,44.0,37.0,69.0,109.0,6.0,12.0,87.0,30.0,20.0,22.0,62.0,36.0,34.0,2.65,4.71,15.45,2.0,4.0,17.0,184.0,132.0,132.0,7.0,1.84,2.88,2.88,21.76,21.76,21.26,161.75,36.81,12.43,27.67,5.33,86.81,53.94,33.77,36.81,33.77,153.0,70.0,47.0,270.0,26.0,19.0,6.0,25.0,4.0,80.0,69.0,127.0,197.0,2.0,4.0,109.0,35.0,19.0,16.0,102.0,72.0,49.0,4.56,9.24,23.01,2.0,11.0,13.0,270.0,223.0,223.0,7.0,3.71,7.75,7.75,32.77,32.77,30.77
ARI,2022,ARI,ARI,Team Level,all,68,0.42,0.43,0.42,248399.0,1782.65,187.62,126.22,399.49,57.92,978.11,706.64,178.49,186.94,177.81,1756.0,700.0,818.0,3274.0,189.0,156.0,23.0,360.0,44.0,802.0,905.0,1567.0,2267.0,286.0,647.0,1757.0,1756.0,399.0,663.0,1719.0,533.0,204.0,52.04,64.81,70.76,56.0,65.0,68.0,3234.95,2456.0,2438.3,366.0,27.92,32.2,32.2,183.35,182.49,176.63,2446.89,260.75,176.79,557.36,80.65,1357.47,953.99,246.4,263.1,248.64,2445.0,942.0,1035.0,4422.0,237.0,222.0,39.0,533.0,79.0,1171.0,1145.0,2208.0,3150.0,243.0,563.0,2098.0,1562.0,439.0,548.0,2359.0,768.0,260.0,72.99,95.86,91.9,74.0,91.0,72.0,4490.0,3387.0,3424.61,251.0,39.87,47.21,47.26,253.36,255.53,246.24
ARI,2022,ARI,ARI,Team Level,5on5,68,0.44,0.44,0.44,196836.0,1398.71,125.69,94.86,327.98,45.53,769.02,566.91,121.58,125.01,120.9,1369.0,561.0,658.0,2588.0,126.0,116.0,19.0,294.0,36.0,625.0,733.0,1243.0,1804.0,256.0,589.0,1343.0,1635.0,329.0,551.0,1397.0,416.0,117.0,42.68,50.53,32.49,49.0,49.0,28.0,2548.96,1930.0,1912.29,322.0,19.63,23.64,23.93,121.41,120.55,118.54,1796.69,161.46,121.71,430.21,58.82,986.78,728.01,155.55,163.81,157.78,1811.0,676.0,800.0,3287.0,149.0,154.0,26.0,427.0,61.0,834.0,862.0,1662.0,2338.0,221.0,519.0,1574.0,1444.0,365.0,466.0,1794.0,550.0,143.0,55.07,68.68,37.72,59.0,61.0,29.0,3355.0,2487.0,2524.61,230.0,25.28,29.71,29.76,156.98,159.15,156.05
ARI,2022,ARI,ARI,Team Level,4on5,68,0.09,0.08,0.09,24230.0,46.13,5.54,2.42,6.54,1.39,13.8,31.31,5.44,5.54,5.44,53.0,8.0,7.0,68.0,5.0,4.0,0.0,1.0,0.0,7.0,44.0,48.0,56.0,8.0,16.0,175.0,68.0,43.0,34.0,34.0,18.0,9.0,1.04,2.1,2.4,1.0,3.0,1.0,68.0,61.0,61.0,30.0,0.54,1.15,1.15,4.94,4.94,4.9,442.24,56.75,39.78,92.38,14.94,268.17,140.98,51.5,56.75,51.5,428.0,185.0,173.0,786.0,60.0,48.0,6.0,76.0,13.0,247.0,169.0,368.0,553.0,14.0,28.0,258.0,31.0,14.0,51.0,424.0,128.0,61.0,11.94,15.8,29.01,13.0,19.0,28.0,786.0,613.0,613.0,2.0,10.23,9.17,9.17,57.8,57.8,53.68
ARI,2022,ARI,ARI,Team Level,5on4,68,0.85,0.85,0.84,19451.0,241.27,33.59,22.59,48.33,7.77,145.43,75.3,29.87,33.59,29.87,242.0,91.0,101.0,434.0,35.0,25.0,2.0,51.0,5.0,126.0,91.0,207.0,298.0,16.0,30.0,152.0,23.0,7.0,56.0,226.0,63.0,44.0,5.68,7.48,20.43,4.0,9.0,22.0,434.0,333.0,333.0,7.0,5.9,4.54,4.25,35.23,35.23,31.93,46.21,5.73,2.87,7.08,1.57,15.7,31.05,5.59,5.73,5.59,53.0,11.0,15.0,79.0,2.0,1.0,1.0,5.0,1.0,10.0,45.0,51.0,62.0,6.0,12.0,157.0,52.0,41.0,15.0,39.0,18.0,7.0,1.42,2.15,2.16,0.0,0.0,2.0,79.0,64.0,64.0,12.0,0.65,0.58,0.58,5.8,5.8,5.74
CHI,2022,CHI,CHI,Team Level,other,67,0.43,0.45,0.47,7087.0,102.45,21.09,7.58,18.05,3.33,54.76,33.18,18.83,21.09,18.83,105.0,33.0,37.0,175.0,20.0,13.0,4.0,22.0,4.0,43.0,36.0,85.0,118.0,5.0,12.0,108.0,22.0,15.0,21.0,78.0,35.0,25.0,2.55,4.6,13.94,2.0,9.0,9.0,175.0,138.0,138.0,7.0,2.15,5.43,5.43,17.81,17.81,17.04,113.54,27.77,8.29,19.1,3.83,60.97,37.04,25.22,27.77,25.22,106.0,51.0,54.0,211.0,22.0,9.0,0.0,11.0,6.0,57.0,52.0,84.0,135.0,6.0,12.0,82.0,13.0,18.0,12.0,80.0,37.0,40.0,3.12,4.3,20.35,2.0,2.0,18.0,211.0,157.0,157.0,6.0,2.46,3.14,2.3,27.92,27.92,26.26
CHI,2022,CHI,CHI,Team Level,all,67,0.43,0.44,0.44,243856.0,1798.37,176.49,123.57,417.46,58.84,973.26,713.37,169.17,174.96,167.67,1786.0,677.0,801.0,3264.0,169.0,155.0,27.0,371.0,48.0,757.0,963.0,1617.0,2294.0,230.0,535.0,1961.0,1609.0,592.0,653.0,1810.0,446.0,207.0,49.7,56.26,70.53,58.0,52.0,59.0,3206.43,2463.0,2430.45,361.0,27.37,35.83,35.88,167.98,166.5,162.81,2287.18,236.02,161.48,530.04,75.17,1240.34,900.01,225.51,239.36,228.76,2289.0,855.0,1060.0,4204.0,237.0,223.0,39.0,392.0,68.0,1073.0,1151.0,2052.0,2907.0,233.0,534.0,1701.0,1235.0,492.0,482.0,2235.0,641.0,268.0,65.22,78.97,91.82,85.0,70.0,82.0,4301.89,3144.0,3205.86,223.0,35.52,50.28,50.42,221.12,224.27,218.3
CHI,2022,CHI,CHI,Team Level,5on5,67,0.42,0.43,0.43,200305.0,1399.76,119.3,91.57,339.82,46.22,753.61,569.47,115.85,117.77,114.35,1373.0,547.0,642.0,2562.0,114.0,121.0,18.0,302.0,38.0,583.0,762.0,1259.0,1806.0,203.0,474.0,1498.0,1506.0,498.0,538.0,1444.0,345.0,131.0,39.2,43.43,36.68,49.0,35.0,30.0,2504.43,1920.0,1887.45,320.0,18.97,26.03,26.08,112.19,110.7,109.21,1854.36,167.2,126.22,447.5,61.05,1008.1,740.98,161.16,170.54,164.42,1860.0,692.0,867.0,3419.0,167.0,180.0,33.0,331.0,58.0,878.0,938.0,1693.0,2385.0,206.0,477.0,1337.0,1158.0,416.0,413.0,1860.0,515.0,177.0,54.36,63.67,49.17,74.0,51.0,42.0,3516.89,2552.0,2613.86,190.0,26.18,37.73,37.87,155.51,158.65,155.66
CHI,2022,CHI,CHI,Team Level,4on5,67,0.11,0.12,0.14,17420.0,43.22,4.21,2.2,6.12,1.23,13.79,29.47,4.14,4.21,4.14,54.0,3.0,10.0,67.0,6.0,0.0,0.0,3.0,0.0,6.0,42.0,48.0,51.0,6.0,15.0,158.0,62.0,62.0,31.0,42.0,7.0,8.0,1.02,1.01,2.18,2.0,3.0,1.0,67.0,57.0,57.0,29.0,0.51,0.0,0.0,4.72,4.72,4.64,259.15,33.73,23.69,54.74,8.41,152.28,81.16,31.86,33.73,31.86,266.0,88.0,124.0,478.0,43.0,29.0,5.0,44.0,4.0,127.0,107.0,223.0,311.0,12.0,27.0,160.0,16.0,10.0,36.0,247.0,66.0,41.0,6.3,7.91,19.53,9.0,14.0,20.0,478.0,354.0,354.0,6.0,6.14,8.29,9.14,30.73,30.73,29.42
CHI,2022,CHI,CHI,Team Level,5on4,67,0.81,0.83,0.81,19044.0,252.94,31.89,22.23,53.47,8.06,151.1,81.25,30.34,31.89,30.34,254.0,94.0,112.0,460.0,29.0,21.0,5.0,44.0,6.0,125.0,123.0,225.0,319.0,16.0,34.0,197.0,19.0,17.0,63.0,246.0,59.0,43.0,6.93,7.22,17.73,5.0,5.0,19.0,460.0,348.0,348.0,5.0,5.75,4.37,4.37,33.27,33.27,31.92,60.12,7.32,3.28,8.71,1.88,18.99,40.82,7.26,7.32,7.26,57.0,24.0,15.0,96.0,5.0,5.0,1.0,6.0,0.0,11.0,54.0,52.0,76.0,9.0,18.0,122.0,48.0,48.0,21.0,48.0,23.0,10.0,1.44,3.1,2.78,0.0,3.0,2.0,96.0,81.0,81.0,21.0,0.75,1.11,1.11,6.96,6.96,6.95
NYI,2022,NYI,NYI,Team Level,other,69,0.46,0.49,0.5,8640.0,119.43,23.5,8.76,21.48,3.93,67.0,39.33,22.33,23.5,22.33,116.0,48.0,64.0,228.0,26.0,13.0,3.0,23.0,4.0,48.0,50.0,90.0,138.0,4.0,6.0,104.0,21.0,17.0,20.0,83.0,49.0,32.0,3.47,6.01,14.03,5.0,4.0,17.0,228.0,164.0,164.0,6.0,2.55,3.45,3.45,22.6,22.6,21.71,119.16,27.42,8.97,20.57,4.11,66.32,37.62,25.93,27.42,25.93,113.0,52.0,74.0,239.0,28.0,12.0,2.0,17.0,5.0,60.0,43.0,85.0,137.0,6.0,12.0,97.0,25.0,12.0,24.0,77.0,50.0,38.0,2.9,6.27,18.25,2.0,9.0,17.0,239.0,165.0,165.0,12.0,2.54,4.04,4.46,25.51,25.51,24.46
NYI,2022,NYI,NYI,Team Level,all,69,0.5,0.49,0.49,251255.0,2112.67,217.01,151.39,501.9,72.36,1175.75,824.58,205.14,216.88,205.04,2103.0,840.0,1090.0,4033.0,198.0,239.0,27.0,418.0,57.0,1004.0,1027.0,1905.0,2745.0,239.0,527.0,1908.0,1845.0,450.0,665.0,2118.0,581.0,244.0,62.64,71.89,82.49,77.0,64.0,57.0,4030.94,2943.0,2942.37,331.0,33.48,51.38,51.39,199.1,198.89,192.47,2242.62,220.63,160.09,527.58,75.89,1227.14,884.67,209.28,221.41,210.02,2177.0,919.0,1124.0,4220.0,187.0,246.0,30.0,399.0,77.0,1031.0,1156.0,1990.0,2909.0,235.0,520.0,1846.0,1508.0,412.0,730.0,2268.0,583.0,245.0,65.43,73.72,81.49,57.0,71.0,59.0,4236.02,3096.0,3107.91,383.0,35.48,52.4,52.4,203.73,204.03,198.4
NYI,2022,NYI,NYI,Team Level,5on5,69,0.49,0.49,0.49,203995.0,1661.6,150.85,114.46,412.19,57.46,913.96,667.09,144.1,150.71,144.01,1653.0,663.0,874.0,3190.0,142.0,189.0,18.0,332.0,46.0,787.0,820.0,1511.0,2174.0,211.0,465.0,1453.0,1756.0,384.0,554.0,1702.0,451.0,163.0,49.75,56.18,44.92,62.0,55.0,25.0,3187.94,2316.0,2315.37,297.0,23.78,36.23,36.24,138.39,138.18,135.3,1775.5,154.21,118.62,434.41,59.65,967.82,719.28,147.17,154.99,147.92,1703.0,751.0,878.0,3332.0,124.0,185.0,22.0,322.0,64.0,813.0,946.0,1579.0,2330.0,209.0,462.0,1425.0,1406.0,358.0,624.0,1855.0,440.0,159.0,53.73,55.58,44.91,48.0,48.0,28.0,3348.02,2454.0,2465.91,339.0,24.56,38.61,38.7,140.08,140.38,137.5
NYI,2022,NYI,NYI,Team Level,4on5,69,0.1,0.1,0.11,19279.0,37.71,4.0,1.99,5.35,1.26,12.26,26.13,3.91,4.0,3.91,42.0,9.0,10.0,61.0,2.0,3.0,0.0,4.0,0.0,11.0,31.0,40.0,49.0,12.0,29.0,152.0,46.0,34.0,27.0,36.0,9.0,6.0,1.12,1.14,1.74,1.0,0.0,1.0,61.0,51.0,51.0,22.0,0.45,0.5,0.5,3.95,3.95,3.92,297.36,34.67,29.8,64.59,10.34,175.79,91.81,31.96,34.67,31.96,299.0,108.0,164.0,571.0,30.0,47.0,6.0,54.0,7.0,146.0,123.0,269.0,377.0,13.0,29.0,181.0,16.0,13.0,52.0,285.0,77.0,45.0,7.44,9.62,17.61,6.0,11.0,13.0,571.0,407.0,407.0,7.0,7.77,9.63,9.12,33.31,33.31,31.72
NYI,2022,NYI,NYI,Team Level,5on4,69,0.9,0.88,0.85,19341.0,293.93,38.67,26.19,62.88,9.72,182.52,92.03,34.81,38.67,34.81,292.0,120.0,142.0,554.0,28.0,34.0,6.0,59.0,7.0,158.0,126.0,264.0,384.0,12.0,27.0,199.0,22.0,15.0,64.0,297.0,72.0,43.0,8.3,8.56,21.81,9.0,5.0,14.0,554.0,412.0,412.0,6.0,6.69,11.2,11.2,34.15,34.15,31.54,50.6,4.33,2.7,8.01,1.8,17.21,35.97,4.21,4.33,4.21,62.0,8.0,8.0,78.0,5.0,2.0,0.0,6.0,1.0,12.0,44.0,57.0,65.0,7.0,17.0,143.0,61.0,29.0,30.0,51.0,16.0,3.0,1.35,2.25,0.73,1.0,3.0,1.0,78.0,70.0,70.0,25.0,0.62,0.13,0.13,4.83,4.83,4.72
MTL,2022,MTL,MTL,Team Level,other,68,0.38,0.47,0.45,8201.0,111.55,21.29,8.64,19.5,3.66,59.56,37.36,19.43,21.29,19.43,109.0,41.0,63.0,213.0,21.0,9.0,1.0,12.0,3.0,57.0,48.0,88.0,129.0,7.0,17.0,100.0,18.0,10.0,24.0,67.0,51.0,32.0,2.82,6.1,12.37,5.0,5.0,11.0,213.0,150.0,150.0,17.0,2.51,2.91,2.75,21.05,21.05,19.81,132.37,35.42,9.06,21.5,4.28,67.42,43.31,31.4,35.42,31.4,132.0,49.0,57.0,238.0,30.0,9.0,0.0,16.0,4.0,69.0,53.0,102.0,151.0,11.0,27.0,107.0,28.0,13.0,30.0,84.0,42.0,55.0,3.35,4.75,27.32,3.0,7.0,20.0,238.0,181.0,181.0,22.0,2.73,4.11,4.11,34.05,34.05,30.99
MTL,2022,MTL,MTL,Team Level,all,68,0.41,0.45,0.45,247717.0,1856.13,184.68,130.43,427.53,60.74,1003.62,738.0,176.82,183.55,175.76,1869.0,676.0,975.0,3520.0,186.0,171.0,32.0,391.0,43.0,819.0,935.0,1683.0,2359.0,270.0,637.0,1842.0,1333.0,418.0,827.0,1796.0,546.0,203.0,52.89,67.5,64.28,53.0,75.0,58.0,3481.25,2545.0,2525.83,617.0,28.93,37.18,37.29,176.33,175.56,171.89,2313.88,264.17,167.63,525.27,76.63,1253.07,882.22,247.46,266.43,249.64,2304.0,865.0,1188.0,4357.0,246.0,245.0,39.0,454.0,58.0,1095.0,1071.0,2058.0,2923.0,252.0,584.0,1913.0,1368.0,495.0,775.0,2163.0,684.0,322.0,66.64,84.97,112.57,53.0,96.0,97.0,4423.8,3169.0,3205.3,570.0,37.63,58.07,58.14,243.68,245.67,236.34
MTL,2022,MTL,MTL,Team Level,5on5,68,0.44,0.46,0.46,198912.0,1465.23,132.23,97.6,348.36,47.71,790.92,596.17,127.66,131.11,126.61,1475.0,538.0,781.0,2794.0,135.0,131.0,27.0,331.0,29.0,649.0,738.0,1340.0,1878.0,235.0,561.0,1409.0,1239.0,355.0,708.0,1467.0,414.0,132.0,43.11,51.69,37.44,46.0,60.0,29.0,2755.25,2013.0,1993.83,531.0,20.28,29.2,29.48,123.04,122.28,120.56,1753.64,168.58,121.37,419.83,58.08,942.77,691.37,161.06,170.84,163.25,1736.0,666.0,938.0,3340.0,157.0,187.0,26.0,369.0,46.0,785.0,858.0,1579.0,2245.0,222.0,521.0,1448.0,1274.0,406.0,670.0,1693.0,514.0,195.0,52.31,64.48,51.8,43.0,75.0,39.0,3406.8,2402.0,2438.3,504.0,25.29,39.41,39.48,154.4,156.4,153.34
MTL,2022,MTL,MTL,Team Level,4on5,68,0.08,0.1,0.11,20594.0,45.83,4.5,2.72,7.27,1.57,15.74,31.21,4.38,4.5,4.38,51.0,12.0,17.0,80.0,3.0,1.0,0.0,3.0,0.0,14.0,42.0,48.0,60.0,10.0,25.0,172.0,49.0,46.0,66.0,43.0,17.0,3.0,1.31,2.29,0.9,0.0,2.0,1.0,80.0,63.0,63.0,65.0,0.62,0.27,0.27,4.84,4.84,4.82,374.76,53.52,34.07,75.83,12.45,225.44,112.69,48.46,53.52,48.46,373.0,141.0,186.0,700.0,57.0,46.0,13.0,59.0,8.0,225.0,119.0,316.0,457.0,11.0,20.0,202.0,18.0,20.0,37.0,343.0,109.0,62.0,9.74,13.17,30.61,7.0,14.0,36.0,700.0,514.0,514.0,6.0,8.9,13.9,13.9,48.53,48.53,45.35
MTL,2022,MTL,MTL,Team Level,5on4,68,0.8,0.85,0.82,20010.0,233.5,26.66,21.47,52.41,7.8,137.4,73.26,25.34,26.66,25.34,234.0,85.0,114.0,433.0,27.0,30.0,4.0,45.0,11.0,99.0,107.0,207.0,292.0,18.0,34.0,161.0,27.0,7.0,29.0,219.0,64.0,36.0,5.65,7.43,13.58,2.0,8.0,17.0,433.0,319.0,319.0,4.0,5.52,4.79,4.79,27.4,27.4,26.7,53.12,6.64,3.13,8.11,1.82,17.45,34.86,6.54,6.64,6.54,63.0,9.0,7.0,79.0,2.0,3.0,0.0,10.0,0.0,16.0,41.0,61.0,70.0,8.0,16.0,156.0,48.0,56.0,38.0,43.0,19.0,10.0,1.25,2.56,2.83,0.0,0.0,2.0,79.0,72.0,72.0,38.0,0.72,0.66,0.66,6.71,6.71,6.66
NYR,2022,NYR,NYR,Team Level,other,67,0.53,0.53,0.53,8281.0,131.21,31.44,9.37,22.9,4.5,70.83,42.96,30.02,31.44,30.02,115.0,67.0,67.0,249.0,33.0,9.0,1.0,8.0,5.0,75.0,52.0,82.0,149.0,10.0,20.0,118.0,22.0,23.0,20.0,88.0,54.0,40.0,3.46,6.68,21.29,4.0,6.0,23.0,249.0,182.0,182.0,3.0,2.76,2.08,2.08,32.11,32.11,30.84,120.24,27.36,8.83,20.76,4.08,61.11,37.85,24.77,27.36,24.77,118.0,42.0,58.0,218.0,23.0,10.0,3.0,20.0,1.0,58.0,48.0,95.0,137.0,6.0,12.0,94.0,23.0,10.0,20.0,66.0,55.0,39.0,2.37,6.67,18.32,2.0,8.0,13.0,218.0,160.0,160.0,7.0,2.64,4.5,4.5,25.5,25.5,23.71
NYR,2022,NYR,NYR,Team Level,all,67,0.51,0.52,0.53,244914.0,2171.96,211.07,154.0,492.6,71.97,1217.83,871.54,203.02,212.54,204.42,2132.0,887.0,1002.0,4021.0,218.0,168.0,14.0,352.0,51.0,1189.0,1041.0,1914.0,2801.0,223.0,506.0,1793.0,1723.0,518.0,712.0,2216.0,612.0,191.0,66.94,74.15,69.99,75.0,80.0,63.0,4049.81,3019.0,3036.87,345.0,34.37,29.9,29.9,215.54,216.96,211.39,1986.47,202.96,138.0,456.57,65.68,1070.56,780.3,192.85,202.61,192.58,1959.0,756.0,976.0,3691.0,187.0,169.0,28.0,304.0,37.0,967.0,1052.0,1772.0,2528.0,236.0,542.0,1863.0,1477.0,466.0,666.0,1912.0,591.0,212.0,56.14,73.12,73.69,66.0,64.0,57.0,3681.37,2715.0,2714.3,332.0,30.57,39.29,39.67,193.86,193.65,188.41
